id;nom;cle_auteur;url_web;url_fb;url_insta;url_yt;url_twit
1;e-business Lao People's Democratic Republic;Producer dedicated;Rustic Plastic;index Avon disintermediate;generate Response;Customer;index South Dakota
2;exploit Tasty Soft Mouse Auto Loan Account;collaborative Rustic;Beauty;Kuwaiti Dinar Nebraska Bacon;Distributed maximized;Mali;optimize Car
3;Administrator Borders Investor;synthesize mission-critical;Automated Product;Directives Tasty;Table communities;Operations;Bedfordshire navigating
4;networks connecting;Papua New Guinea;Plastic engineer;Cotton Palladium Wooden;channels Seychelles Rupee;deploy multi-state;orchestrate auxiliary
5;Tasty Granite Table;cutting-edge Gloves Garden;open-source Reactive bandwidth;Incredible Iowa;Ergonomic;Dynamic Executive red;Small IB
6;infrastructures user-centric leading-edge;bricks-and-clicks Unbranded Concrete Shoes Soap;programming Handcrafted Iceland;solutions Small Plastic Car SDD;SSL Phased Manager;Representative;online
7;connect Indonesia hacking;Practical invoice payment;paradigm Tactics Baby;e-markets;navigate;Solutions Mauritius Rupee;Plastic Wooden withdrawal
8;invoice matrix RAM;Brand driver;deposit Reverse-engineered Saudi Riyal;Computer Cheese Dynamic;Officer;panel fuchsia;Technician copying
9;challenge connect;Savings Account;PNG;payment SSL Polarised;Granite coherent;Strategist;recontextualize
10;generate Row mindshare;quantifying;client-driven;Practical;fresh-thinking;initiatives;white navigating
